street_name,chars
אלמסעודי,א ל מ ס ע ו ד י
קינג ג'ורג',ק י נ ג   ג ' ו ר ג '
גן שלמה,ג ן   ש ל מ ה
אל-סויוטי,א ל - ס ו י ו ט י
א טור הר זית,א   ט ו ר   ה ר   ז י ת
וארוניקה,ו א ר ו נ י ק ה
אל-טאלב,א ל - ט א ל ב
חדיגה בנת חואלד,ח ד י ג ה   ב נ ת   ח ו א ל ד
לנדוי משה,ל נ ד ו י   מ ש ה
חלפתא בן דוסא,ח ל פ ת א   ב ן   ד ו ס א
שלווה במדבר,ש ל ו ו ה   ב מ ד ב ר
ש אזורים דור,ש   א ז ו ר י ם   ד ו ר
יעקב שבתאי,י ע ק ב   ש ב ת א י
שמואל איל,ש מ ו א ל   א י ל
אל ג'מאגיה,א ל   ג ' מ א ג י ה
דרך החול,ד ר ך   ה ח ו ל
המשמש,ה מ ש מ ש
עירם צילה,ע י ר ם   צ י ל ה
את-בן ציון הורוביץ,א ת - ב ן   צ י ו ן   ה ו ר ו ב י ץ
ש מפונים לפת,ש   מ פ ו נ י ם   ל פ ת
בן יאיר אלעזר,ב ן   י א י ר   א ל ע ז ר
ככר הגליל,כ כ ר   ה ג ל י ל
שכ נ אשר חדש,ש כ   נ   א ש ר   ח ד ש
אל אנהאר,א ל   א נ ה א ר
נווה זיו,נ ו ו ה   ז י ו
מנביץ,מ נ ב י ץ
"זימן צבי מ""ר","ז י מ ן   צ ב י   מ "" ר"
אל אסמעי,א ל   א ס מ ע י
אלעזר בן יאיר,א ל ע ז ר   ב ן   י א י ר
שכון הראל,ש כ ו ן   ה ר א ל
הרב מישאל דהאן,ה ר ב   מ י ש א ל   ד ה א ן
מושביץ,מ ו ש ב י ץ
כפר פילדלפיה,כ פ ר   פ י ל ד ל פ י ה
ככר שרמן,כ כ ר   ש ר מ ן
פלד משה,פ ל ד   מ ש ה
ש מפוני יפו,ש   מ פ ו נ י   י פ ו
האלוף נרקיס,ה א ל ו ף   נ ר ק י ס
צבעוני סמטה,צ ב ע ו נ י   ס מ ט ה
טוביה,ט ו ב י ה
סת אל חבאיב,ס ת   א ל   ח ב א י ב
ככר חפר חיים,כ כ ר   ח פ ר   ח י י ם
נלסון מנדלה,נ ל ס ו ן   מ נ ד ל ה
ביס הגבעה,ב י ס   ה ג ב ע ה
ליפתא עלית,ל י פ ת א   ע ל י ת
סידנא אבו אסראיא,ס י ד נ א   א ב ו   א ס ר א י א
ש וילות טרומים,ש   ו י ל ו ת   ט ר ו מ י ם
בצרי יוסף,ב צ ר י   י ו ס ף
מנדלר אלברט,מ נ ד ל ר   א ל ב ר ט
אלחלאק',א ל ח ל א ק '
נפוליון בונפרטה,נ פ ו ל י ו ן   ב ו נ פ ר ט ה
פסח לב,פ ס ח   ל ב
שכ גבעת זית,ש כ   ג ב ע ת   ז י ת
ק ים ב בל,ק   י ם   ב   ב ל
הקוצרים,ה ק ו צ ר י ם
הפנימיה הצבאית,ה פ נ י מ י ה   ה צ ב א י ת
דיור לעולה ד,ד י ו ר   ל ע ו ל ה   ד
אהל שלמה שכ,א ה ל   ש ל מ ה   ש כ
אתגר,א ת ג ר
לבייב אבנר,ל ב י י ב   א ב נ ר
עובדיה סומך,ע ו ב ד י ה   ס ו מ ך
ירחינאי שמואל,י ר ח י נ א י   ש מ ו א ל
הלני המלכה,ה ל נ י   ה מ ל כ ה
נתיבה,נ ת י ב ה
גני צבי חדש,ג נ י   צ ב י   ח ד ש
שרירא שלמה,ש ר י ר א   ש ל מ ה
מעון העובד,מ ע ו ן   ה ע ו ב ד
מע קסטל ב,מ ע   ק ס ט ל   ב
"דוב""ב","ד ו ב "" ב"
ש עולי תלפיו,ש   ע ו ל י   ת ל פ י ו
יצחק רחימוב,י צ ח ק   ר ח י מ ו ב
פאגלין עמיחי,פ א ג ל י ן   ע מ י ח י
עזיר,ע ז י ר
אלחרובה,א ל ח ר ו ב ה
ש עובד,ש   ע ו ב ד
"בעלי התני""א","ב ע ל י   ה ת נ י "" א"
יצחק מועלם,י צ ח ק   מ ו ע ל ם
ברקלי,ב ר ק ל י
גרון אל חומוס,ג ר ו ן   א ל   ח ו מ ו ס
ש תל צור אסב,ש   ת ל   צ ו ר   א ס ב
אלמוכתאר,א ל מ ו כ ת א ר
מחפוז נג'יב,מ ח פ ו ז   נ ג ' י ב
בית אבות מלבן,ב י ת   א ב ו ת   מ ל ב ן
צמח צדוק,צ מ ח   צ ד ו ק
פרץ י. ל.,פ ר ץ   י .   ל .
יורה,י ו ר ה
שמורת נחל עמוד,ש מ ו ר ת   נ ח ל   ע מ ו ד
ש ירוקה,ש   י ר ו ק ה
נהריה,נ ה ר י ה
טל עירון,ט ל   ע י ר ו ן
וורדה,ו ו ר ד ה
שד זבוטינסקי,ש ד   ז ב ו ט י נ ס ק י
יד קנדי,י ד   ק נ ד י
הכותנה,ה כ ו ת נ ה
בית אבות בן גמלא,ב י ת   א ב ו ת   ב ן   ג מ ל א
סמטת אבן,ס מ ט ת   א ב ן
אלניל,א ל נ י ל
פרופ' דניאל כהנמן,פ ר ו פ '   ד נ י א ל   כ ה נ מ ן
יט סמטה,י ט   ס מ ט ה
בן הלל מ,ב ן   ה ל ל   מ
גב אולגה ד,ג ב   א ו ל ג ה   ד
סגולה,ס ג ו ל ה
החשמונאית מרים,ה ח ש מ ו נ א י ת   מ ר י ם
ויצמן שד,ו י צ מ ן   ש ד
זמירון,ז מ י ר ו ן
שערים,ש ע ר י ם
שלמציון,ש ל מ צ י ו ן
ש המערבים,ש   ה מ ע ר ב י ם
ב המועצה,ב   ה מ ו ע צ ה
ילן שטקליס,י ל ן   ש ט ק ל י ס
ארץ הצבי,א ר ץ   ה צ ב י
משעול הכלנית,מ ש ע ו ל   ה כ ל נ י ת
חב רומאן,ח ב   ר ו מ א ן
קבאא אלדאירי,ק ב א א   א ל ד א י ר י
שער עליה,ש ע ר   ע ל י ה
ש מחנה דוד,ש   מ ח נ ה   ד ו ד
מעוז,מ ע ו ז
שכ תמנה,ש כ   ת מ נ ה
כ חסידים דרך,כ   ח ס י ד י ם   ד ר ך
רח ריז,ר ח   ר י ז
גרעין הכפר הישן,ג ר ע י ן   ה כ פ ר   ה י ש ן
סמ האשכוליות,ס מ   ה א ש כ ו ל י ו ת
אל כנסה,א ל   כ נ ס ה
אל שורה,א ל   ש ו ר ה
רח כא,ר ח   כ א
אליהו קאשק עמיקם,א ל י ה ו   ק א ש ק   ע מ י ק ם
סמ חברון,ס מ   ח ב ר ו ן
"ככר רמב""ם","כ כ ר   ר מ ב "" ם"
מבטחים,מ ב ט ח י ם
אל-זמורד,א ל - ז מ ו ר ד
בן שמן כפר הנער,ב ן   ש מ ן   כ פ ר   ה נ ע ר
שביל האגת,ש ב י ל   ה א ג ת
דרגר,ד ר ג ר
שכ גמשה,ש כ   ג מ ש ה
מורדיה גיטאות,מ ו ר ד י ה   ג י ט א ו ת
אל-אחבה,א ל - א ח ב ה
רינס הרב,ר י נ ס   ה ר ב
הרב מורגנשטרן,ה ר ב   מ ו ר ג נ ש ט ר ן
אפינש,א פ י נ ש
סמ מעפילים,ס מ   מ ע פ י ל י ם
מעגל הניקבה,מ ע ג ל   ה נ י ק ב ה
הסיתוונית,ה ס י ת ו ו נ י ת
חצור הגלילית,ח צ ו ר   ה ג ל י ל י ת
רבי אחא,ר ב י   א ח א
אינטרנציונל,א י נ ט ר נ צ י ו נ ל
שדרות בו אבי,ש ד ר ו ת   ב ו   א ב י
רח טל,ר ח   ט ל
רח נא,ר ח   נ א
שדרות נוה עובד,ש ד ר ו ת   נ ו ה   ע ו ב ד
אל-נבי יונס,א ל - נ ב י   י ו נ ס
משעול הנשיא,מ ש ע ו ל   ה נ ש י א
שמעון היימן,ש מ ע ו ן   ה י י מ ן
סימן-טוב יעקב,ס י מ ן - ט ו ב   י ע ק ב
אברהם הרשקו,א ב ר ה ם   ה ר ש ק ו
לנדאו שמואל,ל נ ד א ו   ש מ ו א ל
מעלה הברוש,מ ע ל ה   ה ב ר ו ש
אל-עטאר,א ל - ע ט א ר
מעב צפון אז,מ ע ב   צ פ ו ן   א ז
חיים שושנה,ח י י ם   ש ו ש נ ה
צאלים שכ,צ א ל י ם   ש כ
ואדי אל עין,ו א ד י   א ל   ע י ן
גבעת בגין,ג ב ע ת   ב ג י ן
"הרצל ג""ע","ה ר צ ל   ג "" ע"
השבו,ה ש ב ו
חודשי השנה,ח ו ד ש י   ה ש נ ה
בית הקשתות,ב י ת   ה ק ש ת ו ת
"ש עולים ג""ע","ש   ע ו ל י ם   ג "" ע"
אזור הכדורגל,א ז ו ר   ה כ ד ו ר ג ל
יד נתן ביס,י ד   נ ת ן   ב י ס
ש אחדות חדש,ש   א ח ד ו ת   ח ד ש
רח לז כ שלם,ר ח   ל ז   כ   ש ל ם
ש ממשל רסקו,ש   מ מ ש ל   ר ס ק ו
שכ אלח'מריה,ש כ   א ל ח ' מ ר י ה
ארזים שד,א ר ז י ם   ש ד
חוש אלעגלוני,ח ו ש   א ל ע ג ל ו נ י
גש גוש חלב,ג ש   ג ו ש   ח ל ב
סמ הירקון ב,ס מ   ה י ר ק ו ן   ב
הרמכים,ה ר מ כ י ם
סמ רביבים,ס מ   ר ב י ב י ם
שד שושנים,ש ד   ש ו ש נ י ם
הגורן,ה ג ו ר ן
נורווגיה,נ ו ר ו ו ג י ה
פלק זאב,פ ל ק   ז א ב
אלסנדיאן,א ל ס נ ד י א ן
רובע מלכי ישראל,ר ו ב ע   מ ל כ י   י ש ר א ל
אל-קדסייה,א ל - ק ד ס י י ה
רחבת האדמונית,ר ח ב ת   ה א ד מ ו נ י ת
חלת עלי-דליה,ח ל ת   ע ל י - ד ל י ה
רובע מוסלמי,ר ו ב ע   מ ו ס ל מ י
האניה ארינפורה,ה א נ י ה   א ר י נ פ ו ר ה
סמ הכותל,ס מ   ה כ ו ת ל
קליין דב,ק ל י י ן   ד ב
אופק,א ו פ ק
מעון גולדשטיין,מ ע ו ן   ג ו ל ד ש ט י י ן
חרצית סמטה,ח ר צ י ת   ס מ ט ה
יהודה מכבי,י ה ו ד ה   מ כ ב י
קריגר משה,ק ר י ג ר   מ ש ה
קדמת פרדס חנה,ק ד מ ת   פ ר ד ס   ח נ ה
מלון תדמור,מ ל ו ן   ת ד מ ו ר
הרב נחשוני,ה ר ב   נ ח ש ו נ י
בתי השבים ד,ב ת י   ה ש ב י ם   ד
הלר חיים,ה ל ר   ח י י ם
משעול השקמים,מ ש ע ו ל   ה ש ק מ י ם
ברנו יצחקוב,ב ר נ ו   י צ ח ק ו ב
ככר אנטון שמידט,כ כ ר   א נ ט ו ן   ש מ י ד ט
התבור ב חנוכ,ה ת ב ו ר   ב   ח נ ו כ
אשכולות הגפן,א ש כ ו ל ו ת   ה ג פ ן
קרן קימת שד,ק ר ן   ק י מ ת   ש ד
תוף,ת ו ף
עמידר תלפיו,ע מ י ד ר   ת ל פ י ו
אל-פאלוג'ה,א ל - פ א ל ו ג ' ה
משה מזרחי,מ ש ה   מ ז ר ח י
שכ הבננות,ש כ   ה ב נ נ ו ת
בןצבי רחל,ב ן צ ב י   ר ח ל
וינדהם,ו י נ ד ה ם
א עמרה,א   ע מ ר ה
הלנה כגן,ה ל נ ה   כ ג ן
היכל התלמוד,ה י כ ל   ה ת ל מ ו ד
שדרות עין התכלת,ש ד ר ו ת   ע י ן   ה ת כ ל ת
שכ אולגה א,ש כ   א ו ל ג ה   א
זכריני,ז כ ר י נ י
ניידיץ,נ י י ד י ץ
דניאל ינובסקי,ד נ י א ל   י נ ו ב ס ק י
נחל יתיר,נ ח ל   י ת י ר
הרב פרוש מנחם,ה ר ב   פ ר ו ש   מ נ ח ם
עי תחנת בנז,ע י   ת ח נ ת   ב נ ז
נוביק,נ ו ב י ק
ורשה,ו ר ש ה
שדרות יעקב,ש ד ר ו ת   י ע ק ב
אל-עזאל,א ל - ע ז א ל
דרך הערבה,ד ר ך   ה ע ר ב ה
משעול ינשוף,מ ש ע ו ל   י נ ש ו ף
משעול עבודי ניסן,מ ש ע ו ל   ע ב ו ד י   נ י ס ן
מחנה אראל,מ ח נ ה   א ר א ל
מויאל שמעון,מ ו י א ל   ש מ ע ו ן
מוסד ביתנו,מ ו ס ד   ב י ת נ ו
ק משה אג יש,ק   מ ש ה   א ג   י ש
חוש א שיין,ח ו ש   א   ש י י ן
נוה צבי,נ ו ה   צ ב י
דבירה,ד ב י ר ה
ש מחנה יהודה,ש   מ ח נ ה   י ה ו ד ה
לימן,ל י מ ן
קהילת ניו גרסי,ק ה י ל ת   נ י ו   ג ר ס י
בתי בן ציון,ב ת י   ב ן   צ י ו ן
שלוסברג,ש ל ו ס ב ר ג
דוד המלך מעון,ד ו ד   ה מ ל ך   מ ע ו ן
הרב אליעזרוב,ה ר ב   א ל י ע ז ר ו ב
שמשית,ש מ ש י ת
זרת סמטה,ז ר ת   ס מ ט ה
מצפה כנרת,מ צ פ ה   כ נ ר ת
לניאדו עזרא,ל נ י א ד ו   ע ז ר א
גרינברג ברוך,ג ר י נ ב ר ג   ב ר ו ך
ואדי אלמרבאע,ו א ד י   א ל מ ר ב א ע
ש פרוגרסיבים,ש   פ ר ו ג ר ס י ב י ם
סירונית,ס י ר ו נ י ת
אבן שושן אברהם ככר,א ב ן   ש ו ש ן   א ב ר ה ם   כ כ ר
אל סידה אמנה,א ל   ס י ד ה   א מ נ ה
ביאליק שדרות,ב י א ל י ק   ש ד ר ו ת
אל-ק'דאא,א ל - ק ' ד א א
שירתי,ש י ר ת י
אגמית,א ג מ י ת
שקמים,ש ק מ י ם
שמואל רפאלי,ש מ ו א ל   ר פ א ל י
אל מסעודי,א ל   מ ס ע ו ד י
רח מז כ שלם,ר ח   מ ז   כ   ש ל ם
"מתחם ימק""א","מ ת ח ם   י מ ק "" א"
בנים,ב נ י ם
ש אחוה ב דר,ש   א ח ו ה   ב   ד ר
נח סמטה,נ ח   ס מ ט ה
הרב גץ,ה ר ב   ג ץ
שד הדקל,ש ד   ה ד ק ל
סמ' גריס שרה ומרדכי,ס מ '   ג ר י ס   ש ר ה   ו מ ר ד כ י
משק הפועלות,מ ש ק   ה פ ו ע ל ו ת
ש קוראון,ש   ק ו ר א ו ן
רמות ב,ר מ ו ת   ב
דרך קרית עמל,ד ר ך   ק ר י ת   ע מ ל
הגושן,ה ג ו ש ן
פיקר,פ י ק ר
ואדי אל-חאג,ו א ד י   א ל - ח א ג
א זיסו,א   ז י ס ו
אהרון חג'ג',א ה ר ו ן   ח ג ' ג '
אל רוחה,א ל   ר ו ח ה
לוי אשכול,ל ו י   א ש כ ו ל
אליעזר סוקניק,א ל י ע ז ר   ס ו ק נ י ק
משמש,מ ש מ ש
סמ יצחק,ס מ   י צ ח ק
ינובסקי,י נ ו ב ס ק י
מרדכי סופר,מ ר ד כ י   ס ו פ ר
פלומר דרך,פ ל ו מ ר   ד ר ך
דרך הרב איפרגן,ד ר ך   ה ר ב   א י פ ר ג ן
אלפיג'ן,א ל פ י ג ' ן
שכונת שזר,ש כ ו נ ת   ש ז ר
משעול להבית,מ ש ע ו ל   ל ה ב י ת
הקטורת,ה ק ט ו ר ת
דריג'את,ד ר י ג ' א ת
שדרות לכיש,ש ד ר ו ת   ל כ י ש
דרך הרצליה,ד ר ך   ה ר צ ל י ה
גרשום שלום,ג ר ש ו ם   ש ל ו ם
מרכז קליטה מירון,מ ר כ ז   ק ל י ט ה   מ י ר ו ן
בן פורת מרדכי,ב ן   פ ו ר ת   מ ר ד כ י
עפולה דרך,ע פ ו ל ה   ד ר ך
רח אמנו,ר ח   א מ נ ו
רנגלבלום,ר נ ג ל ב ל ו ם
חדאד,ח ד א ד
מרג' אל-נג'אס,מ ר ג '   א ל - נ ג ' א ס
סמ אלברט,ס מ   א ל ב ר ט
מעלות דושינסקי,מ ע ל ו ת   ד ו ש י נ ס ק י
עיק גנים ג,ע י ק   ג נ י ם   ג
אלמלול,א ל מ ל ו ל
רפאל איתן רפול,ר פ א ל   א י ת ן   ר פ ו ל
אל כלאיל,א ל   כ ל א י ל
טור ההגנה,ט ו ר   ה ה ג נ ה
רחבת ניסן,ר ח ב ת   נ י ס ן
עין התכלת שד,ע י ן   ה ת כ ל ת   ש ד
בית זקנים מ,ב י ת   ז ק נ י ם   מ
וורדים מוסד,ו ו ר ד י ם   מ ו ס ד
מע צפונית,מ ע   צ פ ו נ י ת
אל בסתאן,א ל   ב ס ת א ן
סמטת גרינוולד קלרי,ס מ ט ת   ג ר י נ ו ו ל ד   ק ל ר י
רח ד סחנה א,ר ח   ד   ס ח נ ה   א
יוסף רימון,י ו ס ף   ר י מ ו ן
מרשק,מ ר ש ק
קליטה קהילתית,ק ל י ט ה   ק ה י ל ת י ת
סטנלי מאיר,ס ט נ ל י   מ א י ר
וינסטון צ'רצ'יל,ו י נ ס ט ו ן   צ ' ר צ ' י ל
סעדיה חדד,ס ע ד י ה   ח ד ד
רחבת לחי,ר ח ב ת   ל ח י
רח כג כפר שלם,ר ח   כ ג   כ פ ר   ש ל ם
חד-נס,ח ד - נ ס
אל-חיג'אז,א ל - ח י ג ' א ז
גשר עד הלום,ג ש ר   ע ד   ה ל ו ם
אליעזר וינשל,א ל י ע ז ר   ו י נ ש ל
חגיז משה,ח ג י ז   מ ש ה
ברית ערים,ב ר י ת   ע ר י ם
"חיים בוגרשוב ד""ר","ח י י ם   ב ו ג ר ש ו ב   ד "" ר"
מינא,מ י נ א
דר' שפיגל מלכה,ד ר '   ש פ י ג ל   מ ל כ ה
הרב ירמה,ה ר ב   י ר מ ה
אוסובצקי בוריס,א ו ס ו ב צ ק י   ב ו ר י ס
גשר הירקון,ג ש ר   ה י ר ק ו ן
ש מפוני קיוב,ש   מ פ ו נ י   ק י ו ב
שר אהרון,ש ר   א ה ר ו ן
רבן יוחנן,ר ב ן   י ו ח נ ן
האחים בילסקי,ה א ח י ם   ב י ל ס ק י
ש פקר ב כהן,ש   פ ק ר   ב   כ ה ן
רח נב ק חיים,ר ח   נ ב   ק   ח י י ם
"סמ ויצ""ו","ס מ   ו י צ "" ו"
עין רוגיל,ע י ן   ר ו ג י ל
עת'מאן בן עפאן,ע ת ' מ א ן   ב ן   ע פ א ן
הכנסיה הלטינית,ה כ נ ס י ה   ה ל ט י נ י ת
דוד גמיל,ד ו ד   ג מ י ל
פומפורובסקי,פ ו מ פ ו ר ו ב ס ק י
סנט פרנציס,ס נ ט   פ ר נ צ י ס
נחל איילון,נ ח ל   א י י ל ו ן
בית תרצה,ב י ת   ת ר צ ה
חוש אלבח'ארי,ח ו ש   א ל ב ח ' א ר י
באב אל-הווא,ב א ב   א ל - ה ו ו א
גואריש,ג ו א ר י ש
עמישב מע,ע מ י ש ב   מ ע
נחמן פיין,נ ח מ ן   פ י י ן
דובנבוים,ד ו ב נ ב ו י ם
אלמוקדסי,א ל מ ו ק ד ס י
כיכר זקס,כ י כ ר   ז ק ס
אלטבקה,א ל ט ב ק ה
כצנלסון יעקב,כ צ נ ל ס ו ן   י ע ק ב
"שד הארזים ר""א","ש ד   ה א ר ז י ם   ר "" א"
טייב,ט י י ב
רח צב,ר ח   צ ב
עובדה,ע ו ב ד ה
דרך יום הכפורים,ד ר ך   י ו ם   ה כ פ ו ר י ם
פיקא דרך,פ י ק א   ד ר ך
בית צפאפה שכ,ב י ת   צ פ א פ ה   ש כ
האלוף יקותיאל אדם,ה א ל ו ף   י ק ו ת י א ל   א ד ם
כהן צבי,כ ה ן   צ ב י
עין הזהב,ע י ן   ה ז ה ב
קנת ארו,ק נ ת   א ר ו
וילות טרומיים,ו י ל ו ת   ט ר ו מ י י ם
רוזנבלט צבי,ר ו ז נ ב ל ט   צ ב י
אל-סכה,א ל - ס כ ה
אלג'לאוי,א ל ג ' ל א ו י
צלאח אד דין,צ ל א ח   א ד   ד י ן
אל סודאני,א ל   ס ו ד א נ י
משעול הקנה,מ ש ע ו ל   ה ק נ ה
גב שמש ב נע,ג ב   ש מ ש   ב   נ ע
דרך השיטה,ד ר ך   ה ש י ט ה
דלל,ד ל ל
לופו,ל ו פ ו
"דרך מר""ן","ד ר ך   מ ר "" ן"
ש מולדת,ש   מ ו ל ד ת
סלאח א דין,ס ל א ח   א   ד י ן
סמטת הר דפנה,ס מ ט ת   ה ר   ד פ נ ה
אמונה,א מ ו נ ה
בוני המולדת,ב ו נ י   ה מ ו ל ד ת
תדהר,ת ד ה ר
שדרות כלניות,ש ד ר ו ת   כ ל נ י ו ת
קבועה,ק ב ו ע ה
קרית הספר,ק ר י ת   ה ס פ ר
שביבי אש,ש ב י ב י   א ש
א נהאדה,א   נ ה א ד ה
מנוחה ונחלה,מ נ ו ח ה   ו נ ח ל ה
חאלד אבן ואליד,ח א ל ד   א ב ן   ו א ל י ד
לייבוביץ נחמה,ל י י ב ו ב י ץ   נ ח מ ה
סלנט בייניש,ס ל נ ט   ב י י נ י ש
שיפרה,ש י פ ר ה
ניסבור,נ י ס ב ו ר
ש אזור ב,ש   א ז ו ר   ב
ש ערוני ב כ,ש   ע ר ו נ י   ב   כ
שכ אל רשיד,ש כ   א ל   ר ש י ד
שכ פועלי נצרת,ש כ   פ ו ע ל י   נ צ ר ת
מרדכי מירקין,מ ר ד כ י   מ י ר ק י ן
שדרובצקי שלמה,ש ד ר ו ב צ ק י   ש ל מ ה
תל חי ש מזרחי,ת ל   ח י   ש   מ ז ר ח י
פקולטה לחקלאות,פ ק ו ל ט ה   ל ח ק ל א ו ת
ניר רפאלקס נחום,נ י ר   ר פ א ל ק ס   נ ח ו ם
אל-פול,א ל - פ ו ל
כלניות שדרות,כ ל נ י ו ת   ש ד ר ו ת
כפר סילבר ב,כ פ ר   ס י ל ב ר   ב
ס גורג,ס   ג ו ר ג
אלבאב אלגרבי,א ל ב א ב   א ל ג ר ב י
חאן אלסולטן,ח א ן   א ל ס ו ל ט ן
דרך אהרן,ד ר ך   א ה ר ן
אפרתי,א פ ר ת י
אל-חרם,א ל - ח ר ם
שדרות מוצקין,ש ד ר ו ת   מ ו צ ק י ן
חוגירת מכסור,ח ו ג י ר ת   מ כ ס ו ר
ככר ארוין,כ כ ר   א ר ו י ן
אלאנביאא,א ל א נ ב י א א
שד יניב יובל,ש ד   י נ י ב   י ו ב ל
אפרת,א פ ר ת
ככר חורב,כ כ ר   ח ו ר ב
בנטוב,ב נ ט ו ב
עקבת אל כרמ,ע ק ב ת   א ל   כ ר מ
מבוא הזית,מ ב ו א   ה ז י ת
ש אבן לבן,ש   א ב ן   ל ב ן
דרדר,ד ר ד ר
אופנהיים,א ו פ נ ה י י ם
מהלל,מ ה ל ל
משעול אנפה,מ ש ע ו ל   א נ פ ה
פלח כמוס,פ ל ח   כ מ ו ס
שדרות הוז דוב,ש ד ר ו ת   ה ו ז   ד ו ב
קהילת קרקוב,ק ה י ל ת   ק ר ק ו ב
ביח תרצה,ב י ח   ת ר צ ה
יהודה גור,י ה ו ד ה   ג ו ר
קיזרמן נתן,ק י ז ר מ ן   נ ת ן
ראס אל עקבה,ר א ס   א ל   ע ק ב ה
אביב משה,א ב י ב   מ ש ה
בני ברית,ב נ י   ב ר י ת
בנאסרף,ב נ א ס ר ף
דונקלבלום מנחם,ד ו נ ק ל ב ל ו ם   מ נ ח ם
ש מפדה אז צר,ש   מ פ ד ה   א ז   צ ר
קהילת בודפסט,ק ה י ל ת   ב ו ד פ ס ט
הבשם,ה ב ש ם
רח ה תל גבורים,ר ח   ה   ת ל   ג ב ו ר י ם
ציבעוני,צ י ב ע ו נ י
שבתאי גומברג,ש ב ת א י   ג ו מ ב ר ג
בתי קומות,ב ת י   ק ו מ ו ת
ש עולי אמריק,ש   ע ו ל י   א מ ר י ק
טלעת אלמשהד,ט ל ע ת   א ל מ ש ה ד
שכ בנים,ש כ   ב נ י ם
ש ארבל,ש   א ר ב ל
היסתדרות,ה י ס ת ד ר ו ת
דוד קניאל,ד ו ד   ק נ י א ל
ש עול שמ נב,ש   ע ו ל   ש מ   נ ב
שמעון בן שטח,ש מ ע ו ן   ב ן   ש ט ח
סן יוזף,ס ן   י ו ז ף
שטראוס מוסד,ש ט ר א ו ס   מ ו ס ד
אלשל,א ל ש ל
שד הדקלים,ש ד   ה ד ק ל י ם
כיכר בגין,כ י כ ר   ב ג י ן
בלבל,ב ל ב ל
גור יהודה סמטה,ג ו ר   י ה ו ד ה   ס מ ט ה
נוף ההר,נ ו ף   ה ה ר
יהודה קיל כיכר,י ה ו ד ה   ק י ל   כ י כ ר
המלך עמרי,ה מ ל ך   ע מ ר י
צרפתיאסתרינה אסתר,צ ר פ ת י א ס ת ר י נ ה   א ס ת ר
אלענדליב,א ל ע נ ד ל י ב
קרבונה,ק ר ב ו נ ה
"סביון ג""ע","ס ב י ו ן   ג "" ע"
ש קומות עמיש,ש   ק ו מ ו ת   ע מ י ש
עי המועצה,ע י   ה מ ו ע צ ה
ראהבת,ר א ה ב ת
"האלה ג""ע","ה א ל ה   ג "" ע"
אבן אל-היתם,א ב ן   א ל - ה י ת ם
אנדה,א נ ד ה
גני ברנדיס,ג נ י   ב ר נ ד י ס
ש עמל א,ש   ע מ ל   א
סיפורי אגדות,ס י פ ו ר י   א ג ד ו ת
מגד אל-כרום,מ ג ד   א ל - כ ר ו ם
שופמן גרשון,ש ו פ מ ן   ג ר ש ו ן
אנילביץ מ,א נ י ל ב י ץ   מ
"ד""ר מקס בודנהיימר","ד "" ר   מ ק ס   ב ו ד נ ה י י מ ר"
אל רוג'ום,א ל   ר ו ג ' ו ם
הגידם,ה ג י ד ם
דנוש בן לברט,ד נ ו ש   ב ן   ל ב ר ט
זייד ב מרגו,ז י י ד   ב   מ ר ג ו
"סמ צבעוני ג""י","ס מ   צ ב ע ו נ י   ג "" י"
דרך חיים הרצוג,ד ר ך   ח י י ם   ה ר צ ו ג
מד המוכתר צבי,מ ד   ה מ ו כ ת ר   צ ב י
תנשמת,ת נ ש מ ת
יששכר וגמן,י ש ש כ ר   ו ג מ ן
דויד,ד ו י ד
אוסקר שינדלר,א ו ס ק ר   ש י נ ד ל ר
אל קרמי אבו סלמה,א ל   ק ר מ י   א ב ו   ס ל מ ה
שמעה שכ,ש מ ע ה   ש כ
ש ישראל,ש   י ש ר א ל
ככר מילאנו,כ כ ר   מ י ל א נ ו
הקידמה,ה ק י ד מ ה
נורית הירש כיכר,נ ו ר י ת   ה י ר ש   כ י כ ר
הנביא עידו,ה נ ב י א   ע י ד ו
משעול שקנאי,מ ש ע ו ל   ש ק נ א י
סנפיר,ס נ פ י ר
רחל אמנו,ר ח ל   א מ נ ו
ש חברת חשמל,ש   ח ב ר ת   ח ש מ ל
ספדי,ס פ ד י
יעקב מזרחי,י ע ק ב   מ ז ר ח י
מישעול הרקפת,מ י ש ע ו ל   ה ר ק פ ת
הקרב סמ,ה ק ר ב   ס מ
שכ בסט,ש כ   ב ס ט
שד בן צבי,ש ד   ב ן   צ ב י
נחל רותם,נ ח ל   ר ו ת ם
אל חרם,א ל   ח ר ם
ש קדמה,ש   ק ד מ ה
דביקאר יחזקאל,ד ב י ק א ר   י ח ז ק א ל
בקעה אל גרב,ב ק ע ה   א ל   ג ר ב
שד מוריה,ש ד   מ ו ר י ה
נחל עמרם,נ ח ל   ע מ ר ם
קפלן ש סלע,ק פ ל ן   ש   ס ל ע
נאפ,נ א פ
סדר אלערוס,ס ד ר   א ל ע ר ו ס
בן יאיר עלעז,ב ן   י א י ר   ע ל ע ז
ש תלפיות,ש   ת ל פ י ו ת
שמואל סמ,ש מ ו א ל   ס מ
דרך הרקפות,ד ר ך   ה ר ק פ ו ת
מעון טיראן,מ ע ו ן   ט י ר א ן
קרית אריה שינפלד,ק ר י ת   א ר י ה   ש י נ פ ל ד
